品項,總量,批號,製造日/到期日
PRTDL-GO-K-4入,4,1150204K,2028-07-15
PRTDL-GO-K-4入,3,1150416K,2028-07-15
PRTDL-GO-K-4入,3,1150525K,2028-09-02
PRTDL-YK,10,YK26#24,2028-05-12
PRTDL-SS-K,7,1150818K6,2028-05-26
PRSRM-SS-K-8入,52,1140611K,2027-03-22
PRSRM-SS-K-8入,42,1150112K,2027-10-21
PRSRM-SS-K-8入,12,1150303K,2027-12-08
PRSRM-SS-K-8入,15,1150827K6,2028-06-04
PRSRM-GO-K,18,1150408K,2028-07-13
PRSRM-SS-(對切),3,1150325S,2027.01.29
PRSRM-SS-(對切),16,1150409S,2027.01.29
PRCFT-GO,11,GO26#2,2028-01-07~01-29
PROB-YK-K,41,1150331K,2028-02-06
PRCER-GO-(十字切),12.5,1150409S,2028.02.11
PRCER-GO-(十字切),3.75,1150415S,2028.02.11
PRCER-YK-(十字切),3,1150819S,2028.02.10
PRCER-GO,12,GO26#2,2028-2-11~02-12
PRCER-YK-K,46,1150409K,2028-02-10
PRCER-YK-K,12,1150416K,2028-02-10
PRSRL-GO-5入,62,GO25#5-11407,2027-05-23
PRSRL-SS-K,2,1150303K,2027-12-08
PRSRL-SS-K,7,1150326K,2028-01-05
PRSRL-GO-K,8,1150416K,2028-07-13
PRSRL-SS-K,28,1150427K,2028-02-02
PRSRL-YK-K,14,1150525K,2028-03-08
PRSRL-SS-K,13,1150525K,2028-03-03
PRSRL-YK-K,14,1150622K6,2028-04-07
PRSRL-SS-K,5,1150817K6,2028-05-28
PRSRL-GO-(260~300),1,1150624S,2027.05.23
PRSRL-GO-(260~300),2,1150826S,2027.05.23
PRSRL-GO-(280~320),8,1150826S,2027.05.23
PRSRL-GO-(320~360),1,1141223S,2027.05.23
PRSTL-YK-K,1,1150623K5,2028-11-17
PRSTL-YK-K,1,1150806K5,2028-06-09
PRSTL-GO-K,8,1150528K,2028-11-17
PRSTL-GO-K,1,1150819K5,2029-02-09
PRSTL-YK-K-(P規),2,1140711S,2027.03.07
PRSTL-YK-K-(3公分),4,1150811S,2028.02.09
PRSTL-YK-K-(4.5公分),4,1150811S,2028.02.09
PRSTL-YK-K-(4.5公分),6,1150811S,2028.05.13
PRSTL-GO-K-(紅屋3公分),7,1150116S,2027.06.05
PRSTL-GO-K-(紅屋3公分),14,1150121S,2027.06.05
PRSTL-GO-K-(紅屋3公分),8,1150123S,2027.06.05
PRSTL-GO-K-(紅屋3公分),3,1150206S,2028.07.15
PRSTL-GO-K-(紅屋3公分),2,1150210S,2027.10.09
PRSTL-GO-K-(紅屋3公分),4,1150325S,2028.04.30
PRSTL-GO-K-(紅屋3公分),3,1150429S,2028.02.09
PRSTL-YK-K-(紅屋3公分),3,1150513S,2028.02.09
PRSTL-GO-3CM(紅屋)780~920G (電商EC用),0,,
PRRERB-YK-2入,3,1150427K,2028-02-11
PRRERB-YK,1,1150728K5,2028-05-12
PRRERB-GO-2入,7,1150408K,2028-07-13
PRRERB-GO-2入,2,1150824K6,2029-02-09
PRRERB-YK-K-(800~850),1,1150811S,2028.02.11
PRSRMB-SS,1,SS25#57,2027-04-03
PRSRMB-YK-5入,24,1150407K,2028-02-10
PRSRMB-GO,8,GO26#2,2028-01-06~01-08
PRSRMB-GO(2.5公分),3,1150409S,2028.01.06
PRSRMB-GO(延骨切),6,1150826S,2028.02.10
ACSRM-YK-8入,0,,
ACOB-GO-K,0,,
ACCRM-YK-6入,59,YK26#21,2027-01-03
ACCRM-SS-6入,157,SS26#24,2027-05-09
ACSTL-GO-K-(3公分),1,1140909S,2027.10.09
CHRER-YK,4,1150824K6,2028-06-08
CHTDL-YK-K-6入,0,,
CHSRM-SS-K-7入,44,1150827K6,2028-06-07
CHSRL-YK-K-2入,1,1141031K,2027-09-11
CHSRL-YK-(280~320),1,1150513S,2027.09.11
CHSRL-YK-(280~320),2,1150527S,2027.09.11
CHSRL-YK-(280~320),4,1150714S,2027.09.11
EMSPL-SS-4入,32,SS26#58,2027-12-01
SS-EMSPL-(十字切),4,1150714S,2027.11.19
SS-EMSPL-(對切),4,1150819S,2027.11.19
SS-EMSPL-(對切),4,1150826S,2027.11.19
SS-EMKPL,3,SS25#68,2027.01.10
M45RER-KR-K,26,,
RF-YK-16入,43,YK26#3,2027-05-14
CHBT-SS(5公分),20,1150811S,2027.02.23
CHSRMB-YK(2.5公分),0,,
M89RER-KR-K,3,1140425K,2027-02-03
M89RER-KR-K,1,1141016K,2027-07-28
M89RER-KR-K,10,1141105K,2027-08-14
M89RER-KR-K,8,1141127K,2027-09-05
M89RER-KR-K,1,1150113K,2027-10-27
M89RER-KR-K,7,1150223K,2027-12-04
M89RER-KR-K,2,1150224K,2027-12-04
M89RER-KR-K,3,1150427K,2028-02-06
M9RER-KR-K,1,1150323K,2027-12-22
M89RER-KR-K-(200/250),2,1150415S,2027.07.28
M89RER-KR-K-(280/320),1,1150826S,2027.02.03
M89RER-KR-K-(3公分),2,1150811S,2026.12.09
M9RER-KR-K-(3公分),2,1150811S,2026.11.08
M67TDL-KR-K,7,1150115K,2027-10-31
M67TDL-KR-K,20,1150210K,2027-11-25
M67TDL-KR-K,4,1150518K,2028-02-26
M89TDL-KR-K,13,1140620K,2027-03-31
M89TDL-KR-K,21,1140704K,2027-04-07
M89TDL-KR-K,3,1140905K,2027-06-13
M89TDL-KR-K,3,1141002K,2027-07-10
M89TDL-KR-K,2,1141113K,2027-08-25
M89TDL-KR-K,2,1141121K,2027-08-25
M89TDL-KR-K,2,1150115K,2027-10-27
M89TDL-KR-K,1,1150312K,2027-12-22
M89TDL-KR-K,12,1150602K,2028-03-01
M89TDL-KR-K,8,1150623K6,2028-03-22
M9TDL-KR-K,30,1140627K,2027-04-07
M9TDL-KR-K,8,1141113K,2027-08-20
